playerID,Nombre_Jugador,Nombre_Completo_Jugador,Lugar_Nacimiento,Fecha_Nacimiento,Pais_Nacimiento,Edad,Altura,Pie_Dominante,Equipo_Internacional,Partidos_Internacionales,Goles_Internacionales,Pais,Segundo_Pais,Club,clubID,Posicion_Principal,Posicion_Secundaria,Posicion_Terciaria
10609.0,Jérémy Mathieu,Jérémy Mathieu,Luxeuil-les-Bains,29/10/1983,Francia,41,"1,89",Izquierdo,Francia,5.0,0.0,Francia,,Barcelona,217.0,Lateral izquierdo,Defensa central,Interior izquierdo
5216.0,Andrés Iniesta,Andrés Iniesta Luján,Fuentealbilla,11/05/1984,España,40,"1,71",Ambidiestro,España,131.0,14.0,España,,Barcelona,217.0,Mediocentro,Mediocentro ofensivo,
6332.0,Thomas Vermaelen,Thomas Vermaelen,Kapellen,14/11/1985,Bélgica,39,"1,83",Izquierdo,Bélgica,85.0,2.0,Bélgica,,Barcelona,217.0,Defensa central,Lateral izquierdo,
4324.0,Dani Alves,Daniel Alves da Silva,Juazeiro,06/05/1983,Brasil,41,"1,72",Derecho,Brasil,126.0,8.0,Brasil,España,Barcelona,217.0,Lateral derecho,Interior derecho,Mediocentro
5213.0,Gerard Piqué,Gerard Piqué Bernabéu,Barcelona,02/02/1987,España,38,"1,94",Derecho,España,102.0,5.0,España,,Barcelona,217.0,Defensa central,,
5506.0,Javier Mascherano,Javier Alejandro Mascherano,San Lorenzo,08/06/1984,Argentina,40,"1,74",Derecho,Argentina,147.0,3.0,Argentina,Italia,Barcelona,217.0,Pivote,Defensa central,
11094.0,Arda Turan,Arda Turan,Istanbul,30/01/1987,Turquía,38,"1,77",Derecho,Turquía,100.0,16.0,Turquía,,Barcelona,217.0,Extremo izquierdo,Mediocentro ofensivo,Extremo derecho
5503.0,Lionel Messi,Lionel Andrés Messi Cuccittini,Rosario,24/06/1987,Argentina,37,"1,70",Izquierdo,Argentina,191.0,112.0,Argentina,España,Barcelona,217.0,Extremo derecho,Delantero centro,Mediapunta
5470.0,Ivan Rakitic,Ivan Rakitić,Möhlin,10/03/1988,Suiza,37,"1,84",Derecho,Croacia,106.0,15.0,Croacia,Suiza,Barcelona,217.0,Mediocentro,Mediocentro ofensivo,Pivote
22102.0,Adriano,Adriano Correia Claro,Curitiba,26/10/1984,Brasil,40,"1,72",Ambidiestro,Brasil,17.0,0.0,Brasil,España,Barcelona,217.0,Lateral izquierdo,Lateral derecho,Interior izquierdo
4691.0,Claudio Bravo,Claudio Andrés Bravo Muñoz,Buin,13/04/1983,Chile,42,"1,84",Derecho,Chile,150.0,0.0,Chile,España,Barcelona,217.0,Portero,,
5246.0,Luis Suárez,Luis Alberto Suárez Díaz,Salto,24/01/1987,Uruguay,38,"1,82",Derecho,Uruguay,143.0,69.0,Uruguay,,Barcelona,217.0,Delantero centro,Extremo derecho,Extremo izquierdo
27318.0,Douglas,Douglas Pereira dos Santos,Monte Alegre de Goiás,06/08/1990,Brasil,34,"1,71",Derecho,Brasil Sub-20,12.0,0.0,Brasil,,Barcelona,217.0,Lateral derecho,Interior derecho,Mediocentro
5203.0,Sergio Busquets,Sergio Busquets i Burgos,Badia del Vallès,16/07/1988,España,36,"1,89",Derecho,España,143.0,2.0,España,,Barcelona,217.0,Pivote,,
,Jordi Masip,Jordi Masip,Sabadell,03/01/1989,España,36,"1,80",Derecho,España Sub-17,1.0,0.0,España,,,,Portero,,
,Pedro,Pedro Eliezer Rodríguez Ledesma,Santa Cruz de Tenerife,28/07/1987,España,37,"1,67",Ambidiestro,España,65.0,17.0,España,,,,Extremo derecho,Extremo izquierdo,Mediocentro ofensivo
4320.0,Neymar,Neymar da Silva Santos Junior,Mogi das Cruzes,05/02/1992,Brasil,33,"1,75",Derecho,Brasil,128.0,79.0,Brasil,,Barcelona,217.0,Extremo izquierdo,Mediapunta,Mediocentro ofensivo
5211.0,Jordi Alba,Jordi Alba Ramos,L'Hospitalet de Llobregat,21/03/1989,España,36,"1,70",Izquierdo,España,93.0,10.0,España,,Barcelona,217.0,Lateral izquierdo,Interior izquierdo,
20055.0,Marc-André ter Stegen,Marc-André ter Stegen,Mönchengladbach,30/04/1992,Alemania,32,"1,87",Derecho,Alemania,42.0,0.0,Alemania,,Barcelona,217.0,Portero,,
6379.0,Sergi Roberto,Sergi Roberto Carnicer,Reus,07/02/1992,España,33,"1,78",Derecho,España,11.0,1.0,España,,Barcelona,217.0,Mediocentro,Lateral derecho,Pivote
6400.0,Aleix Vidal,Aleix Vidal Parreu,Valls,21/08/1989,España,35,"1,77",Derecho,España,1.0,0.0,España,,Barcelona,217.0,Extremo derecho,Extremo izquierdo,Lateral derecho
7068.0,Marc Bartra,Marc Bartra Aregall,Sant Jaume dels Domenys,15/01/1991,España,34,"1,84",Derecho,España,14.0,1.0,España,,Barcelona,217.0,Defensa central,Lateral derecho,
6998.0,Rafinha,Rafael Alcântara do Nascimento,São Paulo,12/02/1993,Brasil,32,"1,74",Izquierdo,Brasil,2.0,1.0,Brasil,España,Barcelona,217.0,Mediocentro ofensivo,Extremo derecho,Mediocentro
,Juan Cámara,Juan Cámara,Jaén,13/02/1994,España,31,"1,84",Izquierdo,España Sub-17,5.0,0.0,España,,,,Mediocentro ofensivo,Extremo izquierdo,Extremo derecho
21229.0,Sergi Samper,Sergi Samper Montaña,Barcelona,20/01/1995,España,30,"1,81",Derecho,España Sub-21,2.0,0.0,España,,Barcelona,217.0,Pivote,Mediocentro,
3508.0,Sandro Ramírez,Sandro Ramírez Castillo,Las Palmas de Gran Canaria,09/07/1995,España,29,"1,74",Derecho,España Sub-21,7.0,1.0,España,,Barcelona,217.0,Delantero centro,Extremo izquierdo,Extremo derecho
6616.0,Munir El Haddadi,Munir El Haddadi Mohamed,El Escorial,01/09/1995,España,29,"1,77",Izquierdo,Marruecos,11.0,2.0,Marruecos,España,Barcelona,217.0,Extremo derecho,Delantero centro,Extremo izquierdo
,Wilfrid Kaptoum,Wilfrid Kaptoum,Douala,07/07/1996,Camerún,28,"1,74",Derecho,Camerún,0.0,0.0,Camerún,,,,Mediocentro,Mediocentro ofensivo,
6834.0,Gerard Gumbau,Gerard Gumbau Garriga,Campllong,18/12/1994,España,30,"1,88",Izquierdo,,,,España,,Barcelona,217.0,Pivote,Mediocentro,Defensa central
,Dani Romera,Dani Romera,Almería,23/08/1995,España,29,"1,72",Derecho,,,,España,,,,Delantero centro,Extremo izquierdo,Extremo derecho
,Carles Aleñá,Carles Aleñá,Mataró,05/01/1998,España,27,"1,80",Izquierdo,España Sub-21,3.0,0.0,España,,,,Mediocentro,Mediocentro ofensivo,Extremo derecho
