Nombre_Jugador,Tipo_Lesion,Sub_Tipo_Lesion,Fecha_incio_lesion,Fecha_fin_lesion,Nombre_Completo_Jugador,Club,playerID,clubID,Tipo_Lesion_ID,Sub_Tipo_Lesion_ID
Thomas Vermaelen,Suspension,Yellow Card Suspension,2016-06-27,2016-07-04,Thomas Vermaelen,Barcelona,6332.0,217.0,2,1
Andrés Iniesta,Suspension,Yellow Card Suspension,2016-05-23,2016-12-01,Andrés Iniesta Luján,Barcelona,5216.0,217.0,2,1
Claudio Bravo,Injury,Calf Injury,2016-05-02,2016-05-19,Claudio Andrés Bravo Muñoz,Barcelona,4691.0,217.0,3,2
Gerard Piqué,Suspension,Yellow Card Suspension,2016-04-18,2016-04-21,Gerard Piqué Bernabéu,Barcelona,5213.0,217.0,2,1
Luis Suárez,Suspension,Yellow Card Suspension,2016-04-04,2016-04-11,Luis Alberto Suárez Díaz,Barcelona,5246.0,217.0,2,1
Aleix Vidal,Injury,Adductor Pain,2016-04-04,2016-04-14,Aleix Vidal Parreu,Barcelona,6400.0,217.0,3,3
Jordi Alba,Injury,Ankle Problems,2016-03-27,2016-04-02,Jordi Alba Ramos,Barcelona,5211.0,217.0,3,4
Claudio Bravo,Suspension,Yellow Card Suspension,2016-03-26,2016-03-31,Claudio Andrés Bravo Muñoz,Barcelona,4691.0,217.0,2,1
Ivan Rakitic,Injury,Calf Injury,2016-03-20,2016-04-02,Ivan Rakitić,Barcelona,5470.0,217.0,3,2
Sergio Busquets,Injury,Rest,2016-03-10,2016-03-14,Sergio Busquets i Burgos,Barcelona,5203.0,217.0,3,5
Sandro Ramírez,Injury,Tear in the abductor muscle,2016-03-10,2016-05-18,Sandro Ramírez Castillo,Barcelona,3508.0,217.0,3,6
Douglas,Injury,Muscle Strain,2016-03-04,2016-03-12,Douglas Pereira dos Santos,Barcelona,27318.0,217.0,3,7
Dani Alves,Suspension,Yellow Card Suspension,2016-02-29,2016-03-03,Daniel Alves da Silva,Barcelona,4324.0,217.0,2,1
Gerard Piqué,Suspension,Yellow Card Suspension,2016-02-25,2016-03-17,Gerard Piqué Bernabéu,Barcelona,5213.0,217.0,2,1
Gerard Piqué,Suspension,Yellow Card Suspension,2016-01-18,2016-01-25,Gerard Piqué Bernabéu,Barcelona,5213.0,217.0,2,1
Jordi Alba,Injury,Muscle Injury,2016-01-17,2016-01-30,Jordi Alba Ramos,Barcelona,5211.0,217.0,3,8
Luis Suárez,Suspension,Suspension Through Sports Court,2016-01-07,2016-01-21,Luis Alberto Suárez Díaz,Barcelona,5246.0,217.0,2,9
Marc ter Stegen,Injury,Knee Problems,2015-11-30,2015-12-03,Marc-André ter Stegen,Barcelona,20055.0,217.0,3,10
Dani Alves,Suspension,Yellow Card Suspension,2015-11-26,2015-12-10,Daniel Alves da Silva,Barcelona,4324.0,217.0,2,1
Ivan Rakitic,Injury,Calf Problems,2015-11-05,2015-11-17,Ivan Rakitić,Barcelona,5470.0,217.0,3,11
Douglas,Injury,Foot Injury,2015-10-28,2015-12-30,Douglas Pereira dos Santos,Barcelona,27318.0,217.0,3,12
Luis Suárez,Suspension,Suspension Through Sports Court,2015-10-08,2015-11-19,Luis Alberto Suárez Díaz,Barcelona,5246.0,217.0,2,9
Jordi Alba,Injury,Neck Injury,2015-09-22,2015-09-28,Jordi Alba Ramos,Barcelona,5211.0,217.0,3,13
Claudio Bravo,Injury,Torn Muscle Bundle,2015-09-07,2015-10-01,Claudio Andrés Bravo Muñoz,Barcelona,4691.0,217.0,3,14
Dani Alves,Injury,Groin Injury,2015-08-24,2015-09-18,Daniel Alves da Silva,Barcelona,4324.0,217.0,3,15
Douglas,Injury,Knock,2015-08-03,2015-09-18,Douglas Pereira dos Santos,Barcelona,27318.0,217.0,3,16
Aleix Vidal,Legal impediment,No Eligibility,2015-07-01,2016-01-04,Aleix Vidal Parreu,Barcelona,6400.0,217.0,4,17
Luka Modrić,Suspension,Yellow Card Suspension,2016-05-15,2016-08-22,Luka Modrić,Real Madrid,5463.0,220.0,2,1
Lucas Vázquez,Injury,Knee Bruise,2016-05-08,2016-05-25,Lucas Vázquez Iglesias,Real Madrid,5200.0,220.0,3,18
Casemiro,Injury,Muscular problems,2016-05-02,2016-05-08,Carlos Henrique Casimiro,Real Madrid,5539.0,220.0,3,19
Cristiano Ronaldo,Injury,Torn Muscle Fiber,2016-04-21,2016-05-02,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,5207.0,220.0,3,20
Casemiro,Injury,Minor Knock,2016-04-14,2016-04-18,Carlos Henrique Casimiro,Real Madrid,5539.0,220.0,3,21
Pepe,Suspension,Yellow Card Suspension,2016-03-14,2016-03-21,Kléper Laveran Lima Ferreira,Real Madrid,20016.0,220.0,2,1
Luka Modrić,Injury,Ankle Injury,2016-03-03,2016-03-07,Luka Modrić,Real Madrid,5463.0,220.0,3,22
Dani Carvajal,Suspension,Yellow Card Suspension,2016-02-29,2016-03-03,Daniel Carvajal Ramos,Real Madrid,5721.0,220.0,2,1
Raphaël Varane,Suspension,Indirect Card Suspension,2016-02-15,2016-02-22,Raphaël Varane,Real Madrid,5485.0,220.0,2,23
